epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2150.91,0.94271,0.58162,1.10904,0.89571,0.81782,0.88675,0.61182,0.97857,0.54439,1.12977,0.000367967,0.000367967,0.000367967
77,2179.26,0.95214,0.58617,1.1065,0.88306,0.81974,0.88561,0.61094,0.97842,0.54553,1.13029,0.00035382,0.00035382,0.00035382
78,2207.69,0.93205,0.57206,1.10161,0.88001,0.83101,0.88527,0.61427,0.97927,0.5463,1.12954,0.000339673,0.000339673,0.000339673
79,2235.78,0.9439,0.57773,1.09826,0.9031,0.82563,0.88462,0.617,0.97075,0.53059,1.12613,0.000325526,0.000325526,0.000325526
80,2263.72,0.93652,0.57243,1.1,0.89063,0.82162,0.88493,0.6156,0.97143,0.53906,1.12582,0.000311379,0.000311379,0.000311379
81,2291.94,0.93547,0.56554,1.09769,0.89691,0.81868,0.88575,0.61636,0.97446,0.53325,1.12562,0.000297232,0.000297232,0.000297232
82,2319.69,0.9326,0.56705,1.09039,0.88843,0.82414,0.88721,0.61957,0.96976,0.53583,1.12209,0.000283085,0.000283085,0.000283085
83,2347.87,0.93603,0.56032,1.09411,0.88865,0.82581,0.88731,0.62161,0.9675,0.53781,1.12326,0.000268938,0.000268938,0.000268938
84,2376.26,0.93154,0.56542,1.09559,0.88973,0.81333,0.88037,0.61274,0.97737,0.55255,1.12716,0.000254791,0.000254791,0.000254791
85,2404.8,0.93022,0.56156,1.09368,0.89317,0.81868,0.88446,0.61778,0.97109,0.53733,1.12626,0.000240644,0.000240644,0.000240644
86,2432.88,0.92712,0.55858,1.09728,0.88991,0.81944,0.88147,0.61593,0.969,0.54459,1.12241,0.000226497,0.000226497,0.000226497
87,2461.08,0.93093,0.55591,1.09031,0.88669,0.82098,0.88236,0.61715,0.97377,0.54401,1.12432,0.000212349,0.000212349,0.000212349
88,2488.98,0.93077,0.55281,1.09793,0.90136,0.82302,0.88822,0.61954,0.96746,0.533,1.12211,0.000198202,0.000198202,0.000198202
89,2516.92,0.91962,0.5526,1.08622,0.9028,0.81966,0.88745,0.62058,0.96675,0.53405,1.12035,0.000184055,0.000184055,0.000184055
90,2545.15,0.91998,0.54915,1.09181,0.89793,0.82111,0.88722,0.62336,0.96502,0.53292,1.12215,0.000169908,0.000169908,0.000169908
91,2596.81,0.88176,0.46197,1.08194,0.90225,0.81096,0.88571,0.61753,0.97173,0.53853,1.12383,0.000155761,0.000155761,0.000155761
92,2624.38,0.86522,0.44827,1.07666,0.8925,0.81834,0.88397,0.61991,0.9717,0.54297,1.12594,0.000141614,0.000141614,0.000141614
93,2652.11,0.86117,0.44148,1.07119,0.88659,0.82748,0.88777,0.62316,0.96274,0.5339,1.11745,0.000127467,0.000127467,0.000127467
94,2679.77,0.84772,0.43348,1.05643,0.90317,0.82557,0.89105,0.62787,0.95678,0.5245,1.11441,0.00011332,0.00011332,0.00011332
95,2707.27,0.85202,0.4451,1.06116,0.89332,0.82874,0.89059,0.62816,0.95511,0.52471,1.11296,9.91726e-05,9.91726e-05,9.91726e-05
96,2735.08,0.84593,0.43139,1.06289,0.8889,0.83038,0.88863,0.62618,0.95704,0.52539,1.11442,8.50255e-05,8.50255e-05,8.50255e-05
97,2762.83,0.85185,0.43349,1.06154,0.89164,0.83373,0.89367,0.63077,0.95597,0.52145,1.11357,7.08784e-05,7.08784e-05,7.08784e-05
98,2790.76,0.836,0.4254,1.05855,0.89494,0.83032,0.89056,0.6306,0.95233,0.51829,1.11221,5.67313e-05,5.67313e-05,5.67313e-05
99,2818.51,0.83641,0.42191,1.05545,0.89681,0.82459,0.88882,0.62954,0.95388,0.52196,1.1123,4.25842e-05,4.25842e-05,4.25842e-05
100,2846.29,0.83621,0.42442,1.0521,0.90372,0.82353,0.89069,0.62959,0.95248,0.51903,1.11154,2.84371e-05,2.84371e-05,2.84371e-05
